filter,window,cagr,sharpe,max_drawdown,volatility,worst_1y,final_nav,years,cash_pct
abs_mom_12m,Full  2000-2026  (26yr),0.09402597545494795,0.4280094854225607,-0.30199183681501374,0.14959008534994747,-0.198338973334251,1064.8135371513697,26.32,0.22448979591836735
SMA-100,Full  2000-2026  (26yr),0.07240092458815606,0.3619863274144288,-0.1661728665900536,0.1171340500372334,-0.14532774176325047,629.582287529504,26.32,0.3197278911564626
SMA-210,Full  2000-2026  (26yr),0.07444975009063715,0.3497918918745733,-0.2524074392439536,0.12707484399488517,-0.21734267952125774,662.020337863464,26.32,0.2755102040816326
No-Filter,Full  2000-2026  (26yr),0.08090092907747959,0.2850540906570128,-0.4542658944279384,0.1785658608166595,-0.43075012204340224,775.0004930919106,26.32,0.061224489795918366
abs_mom_12m,TRAIN 2000-2014  (15yr) *,0.08741547733909938,0.4288648006415705,-0.2531582995073497,0.1338778031053314,-0.08368844364539274,351.28420776820116,14.99,0.3067484662576687
SMA-100,TRAIN 2000-2014  (15yr) *,0.06754258836749916,0.3464774911954318,-0.1481150620223044,0.1083550571725975,-0.10815861752349598,266.41853198809815,14.99,0.3987730061349693
SMA-210,TRAIN 2000-2014  (15yr) *,0.07494664650668126,0.3640728647153112,-0.2524074392439536,0.12345508512925712,-0.21734267952125774,295.50669372814934,14.99,0.34355828220858897
No-Filter,TRAIN 2000-2014  (15yr) *,0.05080372230167174,0.11686531471692252,-0.4542658944279384,0.178014514846117,-0.43075012204340224,210.21417609012343,14.99,0.11042944785276074
abs_mom_12m,TEST  2015-2026  (11yr),0.10096100002206243,0.4415702219043379,-0.30199183681501374,0.1607015068091151,-0.19833897333424966,297.17685649240184,11.32,0.12605042016806722
SMA-100,TEST  2015-2026  (11yr),0.08439913442708469,0.4494446858290969,-0.1661728665900538,0.12103632803385769,-0.14532774176325147,250.30717927757163,11.32,0.21008403361344538
SMA-210,TEST  2015-2026  (11yr),0.07880478555925907,0.39167776177408825,-0.2383100615741548,0.12460443334387894,-0.20822311083381884,236.067819127164,11.32,0.18487394957983194
No-Filter,TEST  2015-2026  (11yr),0.11995380503798381,0.523007655963027,-0.30199183681501385,0.17199328539913938,-0.19833897333424988,360.68641336026616,11.32,0.0
abs_mom_12m,P5    2020-2024  (COVID+),0.07762825487850944,0.3748320787937354,-0.17563310287469325,0.12706557835653806,-0.15160476278640767,145.28933308800504,5.0,0.2391304347826087
SMA-100,P5    2020-2024  (COVID+),0.0839867679255315,0.4357275191767921,-0.1219458859879411,0.12390029444898777,-0.08495813853594725,149.62357982867204,5.0,0.21739130434782608
SMA-210,P5    2020-2024  (COVID+),0.055935507557751896,0.21350992434049287,-0.16632659714578446,0.12147214064106687,-0.10707867924927283,131.2520439765364,5.0,0.2391304347826087
No-Filter,P5    2020-2024  (COVID+),0.08638915248318857,0.36901590331426926,-0.17370258366617986,0.15280954554190374,-0.09460633033956156,151.28781460073657,5.0,0.0
abs_mom_12m,P3    2010-2014  (QE bull),0.07865633251352033,0.33910148331891055,-0.2531582995073499,0.14348605036257278,-0.21362313463592364,145.89246558286322,4.99,0.021739130434782608
SMA-100,P3    2010-2014  (QE bull),0.0597556548937197,0.2868379475875372,-0.14811506202230473,0.10373681426736213,-0.10453928833945536,133.57814946712196,4.99,0.15217391304347827
SMA-210,P3    2010-2014  (QE bull),0.047391041864974115,0.13425302916552606,-0.25240743924395315,0.1295392884098875,-0.214166448257751,125.98252016904422,4.99,0.06521739130434782
No-Filter,P3    2010-2014  (QE bull),0.08282323032147376,0.36594426046957645,-0.2531582995073499,0.14434774917276053,-0.21362313463592364,148.72559478630072,4.99,0.0
abs_mom_12m,P4    2015-2019  (low-vol),0.0636392745230403,0.29641018815319015,-0.22880151417089856,0.11348892807171296,-0.19833897333424966,136.0839065298819,4.99,0.06666666666666667
SMA-100,P4    2015-2019  (low-vol),0.04790362352495414,0.18716811991401622,-0.1661728665900538,0.09565530461693449,-0.14532774176325147,126.3227372454003,4.99,0.17777777777777778
SMA-210,P4    2015-2019  (low-vol),0.04773786604331698,0.16797114547073883,-0.2383100615741548,0.10560067322043105,-0.20822311083381884,126.22298314580404,4.99,0.1111111111111111
No-Filter,P4    2015-2019  (low-vol),0.08566724137327442,0.4787525219891718,-0.22880151417089956,0.11627560966568334,-0.19833897333424988,150.75223896081866,4.99,0.0
